name;code
Котельное оборудование;3.3.1
Турбинное оборудование;3.3.2
Вспомогательное тепломеханическое оборудование;3.3.3
Электротехническое оборудование 110 кВ и выше электростанций;3.3.4
Электротехническое оборудование 6 - 35 кВ электростанций;3.3.5
Оборудование газового хозяйства ;3.3.6
Генераторы и синхронные компенсаторы;3.3.7
Здания и сооружения энергетического объекта;3.3.8
Линии электропередачи 110 кВ и выше;3.3.9
Линии электропередачи 6 - 35 кВ ;3.3.10
"Электротехническое оборудование 110 кВ и выше трансформаторных
и иных подстанций, распределительных пунктов";3.3.11
"Электротехническое оборудование 6 - 35 кВ трансформаторных и
иных подстанций, распределительных пунктов";3.3.12
"Трансформаторы (автотрансформаторы) и шунтирующие реакторы
110 кВ и выше";3.3.13
Устройства релейной защиты и автоматики ;3.3.14
Устройства тепловой автоматики и измерений;3.3.15
Средства диспетчерского и технологического управления ;3.3.16
"Системы управления электротехническим и (или) энергетическим
оборудованием";3.3.17
Прочие виды оборудования ;3.3.18
Линии электропередачи 0,4 кВ ;3.3.19
"Электротехническое оборудование 0,4 кВ трансформаторных и иных
подстанций, распределительных пунктов";3.3.20
;
