name;code;class
Ошибочные или неправильные действия оперативного и (или) диспетчерского персонала;3.4.1;3
Ошибочные или неправильные действия (или бездействие) персонала служб (подразделений) организации;3.4.2;3
Ошибочные или неправильные действия привлеченного персонала, выполняющего работу по договору;3.4.3;3
Ошибочные или неправильные действия собственного ремонтного или наладочного персонала организации;3.4.4;3
Ошибочные или неправильные действия (или бездействие) руководящего персонала;3.4.5;3
Неудовлетворительное качество производственных или должностных инструкций, других локальных актов документов организации;3.4.6;3
Несоблюдение сроков, невыполнение в требуемых объемах технического обслуживания или ремонта оборудования и устройств;3.4.7;3
Несоблюдение сроков ТО и ремонта оборудования, устройств.;3.4.7.1;3
Несоблюдение объемов ТО и ремонта оборудования, устройств ;3.4.7.2;3
Несвоевременное выявление и устранение дефектов;3.4.7.3;3
Прочие нарушения ;3.4.7.4;3
Воздействие посторонних лиц и организаций, не участвующих в технологическом процессе;3.4.8;1
Производство несанкционированных строительных и погрузочноразгрузочных работ в охранных зонах объектов электросетевого хозяйства;3.4.8.1;1
Проезд крупногабаритной техники;3.4.8.2;1
Несанкционированная рубка лесных насаждений;3.4.8.3;1
Наброс посторонних предметов на ВЛ ;3.4.8.4;1
Прочие воздействия ;3.4.8.5;1
Воздействие организаций, участвующих в технологическом процессе;3.4.9;1
Отключение (повреждение) оборудования в смежной электрической сети;3.4.9.1;1
Отключение (повреждение) оборудования на объекте генерации;3.4.9.2;1
Отключение (повреждение) оборудования потребителей электрической энергии;3.4.9.3;1
Воздействие животных и птиц ;3.4.10;1
Превышение параметров воздействия стихийных явлений относительно условий проекта;3.4.11;1
Воздействие повторяющихся стихийных явлений;3.4.12;1
Гололедно-изморозевые отложения;3.4.12.1;1
Ветровые нагрузки;3.4.12.2;1
Атмосферные перенапряжения (гроза);3.4.12.3;1
Природные пожары ;3.4.12.4;1
Прочие воздействия неблагоприятных природных явлений;3.4.12.5;1
Дефекты (недостатки) проекта, конструкции, изготовления, монтажа;3.4.13;1
Недостатки проекта ;3.4.13.1;1
Недостатки конструкции;3.4.13.2;1
Дефекты изготовления ;3.4.13.3;1
Дефекты монтажа;3.4.13.4;1
Невыявленные причины ;3.4.14;1
Нарушение структуры материала ;4.1;2
Механический износ, неудовлетворительная смазка ;4.2;2
Нарушение механического соединения;4.3;2
Внешнее механическое воздействие;4.4;2
Золовой износ ;4.5;2
Коррозионный, эрозионный износ ;4.6;2
Нарушение герметичности;4.7;2
Нарушение нормального вибросостояния;4.8;2
Взрыв, загорание, пожар ;4.9;2
Термическое повреждение, перегрев, пережо;4.10;2
 Электродуговое повреждение;4.11;2
Нарушение электрической изоляции;4.12;2
Нарушение электрического контакта, размыкание, обрыв цепи ;4.13;2
Механическое разрушение (повреждение), деформация, перекос;4.14;2
Разрушение фундамента, строительных конструкций, ослабление крепления оборудования к фундаменту;4.15;2
Исчерпание ресурса ;4.16;2
Загрязнение, попадание инородных предметов;4.17;2
Дефект сварного соединения (шва) ;4.18;2
Повышение давления, гидравлический удар ;4.19;2
Сбой/дефект программного обеспечения ;4.20;2
Невыявленные причины ;4.21;2
